Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,2,11,30.3,0,0,183,69,18,0,0,0
1,2,1,8,20.7,0,0,183,134,18,0,0,0
1,4,2,11,15.8,0,0,72,69,18,0,0,1
0,4,2,11,21.6,0,0,183,69,18,0,0,1
0,13,4,428,1.7,0,0,321,134,2382,0,1625,1
0,4,2,12,13.6,0,0,183,69,18,0,61,1
1,10,2,25,13.3,0,0,74,88,18,0,0,1
1,1,1,6,7.4,0,0,191,134,0,0,0,1
0,1,1,6,2.3,0,0,164,134,0,0,0,1
0,4,2,12,2.3,0,0,183,69,18,0,62,1
1,4,2,11,6.2,0,0,67,69,18,0,0,0
1,1,1,7,20.6,0,0,150,134,53,0,0,0
1,4,1,10,4.2,0,0,57,134,146,0,0,1
1,4,2,12,23.2,0,0,183,69,18,0,61,1
1,8,2,20,21.1,0,0,76,88,18,0,0,1
1,4,1,11,7.2,0,0,183,134,18,0,30,0
1,4,2,11,2.5,0,0,115,69,18,0,0,0
1,10,2,25,8.8,0,0,42,88,18,0,0,1
1,12,4,44,1.1,2,2,321,134,1158,0,0,1
1,10,2,25,12.6,0,0,83,88,18,0,0,1
1,1,1,8,8.6,0,0,187,134,2950,0,0,0
0,4,2,12,12,0,0,183,69,18,0,61,1
1,1,1,19,6,0,0,276,153,77,0,0,0
1,4,2,12,6.3,0,0,107,69,18,0,17,0
1,1,1,7,10.8,0,0,200,134,53,0,0,0
1,4,2,12,6.1,0,0,65,69,18,0,264,1
1,10,2,25,39.9,0,0,69,88,18,0,0,1
1,2,1,8,24.7,0,0,183,134,18,0,0,0
0,0,0,2,2615.6,0,0,0,0,0,0,0,1
1,4,2,12,14.9,0,0,183,69,18,0,61,1
1,4,2,11,6.3,0,0,80,69,18,0,0,1
1,4,2,11,15.7,0,0,183,69,18,0,0,0
1,4,2,11,10,0,0,183,69,18,0,0,0
1,4,2,11,16.6,0,0,183,69,18,0,0,0
1,5,3,19,23.4,0,0,420,134,18,0,14,0
1,4,2,11,4.2,0,0,183,69,18,0,0,1
1,3,3,31,81,1,1,0,321,153,457,0,1
1,4,2,11,17.4,0,0,73,69,18,0,0,0
1,3,3,41,2.7,1,1,0,420,134,465,0,1
1,11,3,36,3.9,2,2,420,134,18,0,1167,1
1,4,1,11,7.8,0,0,183,134,18,0,30,0
1,1,1,7,6.9,0,0,162,134,53,0,0,0
1,2,1,8,15.4,0,0,61,69,18,0,0,0
1,4,1,11,6.7,0,0,183,134,18,0,30,0
1,2,2,31,15.7,0,0,321,134,560,0,0,0
1,4,2,11,19.5,0,0,183,69,18,0,0,0
1,3,3,30,5.5,0,0,321,153,322,0,0,0
1,4,1,11,10,0,0,183,134,18,0,30,0
1,4,1,10,8,0,0,82,134,62,0,0,1
1,4,2,11,11.9,0,0,90,69,18,0,0,0
1,4,1,11,6.7,0,0,183,134,18,0,30,0
1,4,2,12,17.7,1,1,0,183,69,181,0,1
0,4,2,12,13.8,0,0,183,69,18,0,64,1
1,12,4,46,6.5,2,2,321,134,1406,0,0,1
1,1,1,8,11,0,0,420,134,18,0,260,0
1,4,2,12,10.9,0,0,183,69,18,0,61,1
1,3,3,29,1.4,1,1,0,321,153,0,0,1
0,3,3,33,3.4,0,0,420,134,330,0,0,1
1,3,3,27,4.7,0,0,336,153,0,0,0,1
1,4,2,11,13,0,0,87,69,18,0,0,0
1,4,1,10,12.4,0,0,61,134,18,0,0,1
0,1,1,14,2.1,0,0,262,153,0,0,0,1
0,1,1,76,4.8,0,0,185,134,53,0,586,1
1,4,2,11,17.7,0,0,183,69,18,0,0,0
1,4,2,11,23.1,0,0,183,69,18,0,0,0
1,5,3,24,21.7,0,0,321,134,48,0,190,0
1,4,1,11,9,0,0,183,134,18,0,30,0
1,3,3,30,1.4,0,0,420,134,330,0,0,0
