Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,1,10,10.4,95,134,62,0,0,1
1,10,2,25,31.2,68,88,18,0,0,1
1,1,1,7,6,0,216,134,216,0,1
1,10,2,25,12.6,62,88,18,0,0,1
0,10,2,26,3.2,46,88,489,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
0,4,2,12,11.4,183,69,18,0,61,1
1,1,1,7,7,0,420,134,216,0,1
1,4,2,12,20.6,183,69,18,0,61,1
0,4,2,12,3.2,183,69,18,0,62,1
1,4,2,12,23.2,183,69,18,0,61,1
1,10,2,25,3.2,42,88,18,0,0,1
1,1,1,7,9.9,0,181,134,216,0,1
1,10,2,25,12.6,83,88,18,0,0,1
0,4,2,12,2.7,183,69,18,0,62,1
1,4,1,10,14.2,72,134,112,0,0,1
0,1,1,12,10.4,229,153,72,0,0,1
1,9,5,35,7,420,134,716,0,1358,1
0,1,1,6,2.6,164,134,0,0,0,1
1,1,1,7,136.3,120,134,18,0,0,1
1,5,3,17,4.7,420,134,906,0,0,1
0,1,1,7,5.7,214,134,53,0,0,1
1,4,2,11,11.6,74,69,13597,0,0,1
1,4,2,12,11.9,183,69,18,0,61,1
0,4,2,12,6.3,183,69,18,0,61,1
0,1,1,7,4.3,230,134,132,0,0,1
1,10,2,25,9.3,63,88,18,0,0,1
1,3,3,58,2.5,0,420,134,465,0,1
1,4,2,11,15.8,72,69,18,0,0,1
0,4,2,21,4.9,183,69,479,0,559,1
1,4,2,11,3.6,54,69,18,0,0,1
1,4,2,12,19.1,183,69,18,0,61,1
0,4,2,11,1,183,69,116,0,0,1
0,4,2,12,14.4,183,69,18,0,61,1
1,4,1,10,53.7,70,134,18,0,0,1
1,4,2,11,8.3,183,69,18,0,0,1
1,4,1,10,2.2,58,134,62,0,0,1
1,4,1,10,14.9,80,134,62,0,0,1
1,11,2,26,3.9,54,88,176,0,0,1
1,4,2,11,5.3,0,54,69,181,0,1
1,4,2,12,7.3,183,69,18,0,61,1
1,10,2,25,13.9,40,88,18,0,0,1
1,3,3,53,4.5,0,321,134,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,12,4,45,2.6,420,199,1795,0,0,1
1,4,2,11,11,183,69,18,0,0,1
1,3,3,34,4.9,420,134,0,0,0,1
0,5,3,140,2.2,27180,4529,3684,0,4,1
1,4,2,12,2.2,183,69,18,0,62,1
1,4,2,11,11.2,183,69,116,0,0,1
1,4,2,13,3.5,93,69,2931,0,47,1
1,1,1,7,20.1,0,147,134,366,0,1
1,4,2,12,7.3,100,69,18,0,37,1
0,1,1,19,5,214,153,77,0,0,1
1,11,2,26,5.9,43,88,176,0,0,1
0,7,1,355,0.5,69,134,480,42,16146,1
1,4,2,12,24.4,183,69,18,0,61,1
0,3,3,40,4.1,420,134,894,0,0,1
1,4,2,12,5.9,183,69,18,0,61,1
1,4,2,12,3.4,183,69,18,0,62,1
1,1,1,8,10.5,420,134,2931,0,0,1
1,3,3,33,4,0,420,134,0,0,1
1,4,2,11,6.8,183,69,1282,0,0,1
