Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE)
0,1,1,19,13.0,0,0,257.0,153.0,77.0,0.0,0.0
1,2,1,9,27.6,0,0,183.0,69.0,18.0,0.0,72.0
0,4,2,12,13.2,0,0,183.0,69.0,18.0,0.0,61.0
1,4,2,11,9.5,0,0,183.0,69.0,18.0,0.0,0.0
0,1,1,14,8.9,0,0,261.0,153.0,0.0,0.0,0.0
1,4,2,11,18.9,0,0,80.0,69.0,18.0,0.0,0.0
1,4,1,11,9.1,0,0,66.0,134.0,18.0,0.0,454.0
1,4,2,11,16.6,0,0,183.0,69.0,18.0,0.0,0.0
1,2,2,12,10.6,2,2,420.0,199.0,0.0,0.0,0.0
1,5,3,21,27.0,0,0,321.0,134.0,48.0,0.0,9195.0
1,5,3,17,2.8,0,0,420.0,134.0,1308.0,0.0,0.0
1,1,1,19,5.3,0,0,256.0,153.0,111.0,0.0,0.0
1,10,2,25,9.8,0,0,58.0,88.0,74.0,0.0,0.0
1,5,3,19,23.4,0,0,420.0,134.0,18.0,0.0,14.0
1,4,1,11,4.8,0,0,183.0,134.0,18.0,0.0,30.0
1,4,2,11,12.4,0,0,69.0,69.0,18.0,0.0,0.0
1,4,2,11,13.2,0,0,82.0,69.0,18.0,0.0,0.0
1,4,2,11,20.0,0,0,183.0,69.0,18.0,0.0,0.0
1,1,1,11,10.6,0,0,321.0,134.0,476.0,0.0,0.0
1,4,2,12,4.2,0,0,77.0,69.0,2931.0,0.0,0.0
1,5,3,23,24.8,0,0,321.0,134.0,48.0,0.0,2202.0
0,0,0,2,3963.5,0,0,0.0,0.0,0.0,0.0,0.0
1,4,2,11,6.1,0,0,73.0,69.0,18.0,0.0,0.0
1,4,2,11,15.2,0,0,79.0,69.0,18.0,0.0,0.0
1,1,1,15,8.1,0,0,218.0,153.0,72.0,0.0,0.0
1,4,2,11,14.3,0,0,183.0,69.0,18.0,0.0,0.0
1,4,2,11,48.2,0,0,76.0,69.0,18.0,0.0,0.0
1,4,2,10,8.6,0,0,86.0,69.0,0.0,0.0,0.0
1,5,1,16,54.4,0,0,82.0,82.0,18.0,0.0,60.0
0,4,2,12,1.1,0,0,183.0,69.0,18.0,0.0,61.0
1,4,2,12,26.0,0,0,183.0,69.0,18.0,0.0,61.0
0,4,2,12,1.1,0,0,183.0,69.0,18.0,0.0,61.0
1,1,1,7,2.8,0,0,216.0,134.0,53.0,0.0,0.0
1,1,1,9,7.9,0,0,420.0,134.0,18.0,0.0,33.0
1,2,1,8,18.5,0,0,183.0,134.0,18.0,0.0,0.0
1,10,2,27,8.6,0,0,63.0,88.0,2843.0,0.0,0.0
1,4,2,11,7.0,0,0,183.0,69.0,18.0,0.0,0.0
1,2,1,8,21.8,0,0,183.0,134.0,18.0,0.0,0.0
1,4,2,11,14.8,0,0,183.0,69.0,18.0,0.0,0.0
1,3,3,77,3.5,2,2,420.0,134.0,1066.0,0.0,0.0
1,1,1,8,11.0,0,0,188.0,134.0,2950.0,0.0,0.0
1,4,2,12,7.2,1,1,183.0,69.0,181.0,0.0,61.0
1,5,1,16,74.3,0,0,79.0,82.0,18.0,0.0,60.0
1,5,3,21,16.6,0,0,321.0,134.0,48.0,0.0,9195.0
1,1,1,8,8.6,0,0,187.0,134.0,2950.0,0.0,0.0
1,4,1,10,20.7,0,0,75.0,134.0,116.0,0.0,0.0
1,1,1,19,5.8,0,0,337.0,153.0,77.0,0.0,0.0
1,4,2,11,18.8,0,0,183.0,69.0,18.0,0.0,0.0
0,3,3,39,5.7,0,0,420.0,134.0,322.0,0.0,0.0
1,2,2,16,3.1,0,0,321.0,134.0,822.0,0.0,0.0
1,4,2,10,9.7,0,0,60.0,69.0,0.0,0.0,0.0
0,4,2,12,1.1,0,0,183.0,69.0,18.0,0.0,61.0
1,4,1,11,4.7,0,0,183.0,134.0,18.0,0.0,30.0
1,2,2,27,13.6,0,0,321.0,134.0,560.0,0.0,0.0
1,1,1,7,12.4,0,0,166.0,134.0,53.0,0.0,0.0
0,10,2,26,3.3,0,0,42.0,88.0,489.0,0.0,0.0
1,5,3,20,3.1,0,0,321.0,134.0,560.0,0.0,0.0
1,4,2,11,9.8,0,0,65.0,69.0,18.0,0.0,0.0
1,2,1,8,21.4,0,0,183.0,134.0,18.0,0.0,0.0
1,5,1,16,64.2,0,0,77.0,82.0,18.0,0.0,60.0
